"symbol","machine_cr","hold_cr","num_trades","start_date","end_date"
MO,-0.17994599999999961,-0.13010699999999997,7,2017-01-01,2018-12-28
AMZN,-10.155799999999999,7.2434999999999992,2,2017-01-01,2018-12-28
AEE,0.0,0.15659899999999993,0,2017-01-01,2018-12-28
AAL,0.0,-0.13629000000000002,0,2017-01-01,2018-12-28
AEP,0.0,0.16273199999999988,0,2017-01-01,2018-12-28
AXP,0.15832200000000007,0.21313099999999996,1,2017-01-01,2018-12-28
AIG,-0.029111999999998805,-0.23504600000000009,39,2017-01-01,2018-12-28
AMT,0.12262700000000004,0.56996000000000002,1,2017-01-01,2018-12-28
AMP,0.72477100000000028,-0.03385399999999994,2,2017-01-01,2018-12-28
ABC,-0.029361000000000081,-0.058321000000000067,1,2017-01-01,2018-12-28
AME,0.12140499999999999,0.18151600000000001,4,2017-01-01,2018-12-28
AMGN,0.0,0.4819119999999999,0,2017-01-01,2018-12-28
APH,0.075943000000000094,0.1427449999999999,3,2017-01-01,2018-12-28
APC,0.027157000000000098,-0.25549600000000006,3,2017-01-01,2018-12-28
ADI,-0.031122999999999901,0.15920599999999996,2,2017-01-01,2018-12-28
ANDV,-1.441271,-0.85415699999999994,1,2017-01-01,2018-12-28
ANSS,0.46520000000000006,0.49639999999999995,12,2017-01-01,2018-12-28
ANTM,-0.79519000000000029,1.1950809999999996,2,2017-01-01,2018-12-28
AON,0.0,0.34332400000000018,0,2017-01-01,2018-12-28
APA,-0.11109999999999998,-0.347553,1,2017-01-01,2018-12-28
AIV,0.026308999999999916,0.015303000000000067,1,2017-01-01,2018-12-28
AAPL,0.54417500000000008,0.43616100000000002,7,2017-01-01,2018-12-28
AMAT,0.02505399999999991,0.012298999999999838,1,2017-01-01,2018-12-28
ADM,-0.010848999999999887,-0.027241999999999988,1,2017-01-01,2018-12-28
ARNC,0.019265000000000088,-0.020391000000000048,7,2017-01-01,2018-12-28
AJG,-0.075641000000000069,0.22794899999999996,6,2017-01-01,2018-12-28
AIZ,-0.23803300000000016,-0.017940999999999874,16,2017-01-01,2018-12-28
T,-0.01309199999999977,-0.10190399999999999,9,2017-01-01,2018-12-28
ADSK,-0.43159999999999998,0.51049999999999995,1,2017-01-01,2018-12-28
ADP,0.31294699999999986,0.30048999999999992,1,2017-01-01,2018-12-28
AZO,-3.5446,0.47550000000000003,10,2017-01-01,2018-12-28
AVB,-0.076727000000000101,0.071769999999999889,1,2017-01-01,2018-12-28
AVY,-0.00023000000000028553,0.21331099999999981,5,2017-01-01,2018-12-28
BLL,-0.08911200000000008,0.076327999999999951,10,2017-01-01,2018-12-28
BAC,-0.013093000000000132,0.02613399999999988,9,2017-01-01,2018-12-28
BAX,-0.10742200000000013,0.21680100000000002,3,2017-01-01,2018-12-28
BBT,0.016580999999999957,-0.014123999999999914,1,2017-01-01,2018-12-28
BDX,0.0,0.61343499999999995,0,2017-01-01,2018-12-28
BRK.B,-0.063999999999999946,0.38250000000000006,7,2017-01-01,2018-12-28
BBY,0.33349699999999949,0.10702499999999993,12,2017-01-01,2018-12-28
BIIB,0.15159999999999996,0.018100000000000005,1,2017-01-01,2018-12-28
BLK,0.00688500000000003,0.20033900000000027,1,2017-01-01,2018-12-28
HRB,0.040359999999999951,0.03940699999999997,3,2017-01-01,2018-12-28
BA,2.0452909999999984,1.66689,10,2017-01-01,2018-12-28
BKNG,1.7082000000000002,2.3826000000000001,1,2017-01-01,2018-12-28
BWA,-0.17193100000000006,-0.044584999999999986,1,2017-01-01,2018-12-28
BXP,0.38602899999999996,-0.086635000000000018,4,2017-01-01,2018-12-28
BSX,-0.07350000000000001,0.1278999999999999,5,2017-01-01,2018-12-28
BMY,-0.0005310000000000592,-0.054266000000000036,1,2017-01-01,2018-12-28
CA,0.30324200000000001,-0.30651499999999998,1,2017-01-01,2018-12-28
COG,-0.050486999999999838,0.0098050000000000637,2,2017-01-01,2018-12-28
CDNS,-0.10319999999999996,0.17999999999999994,9,2017-01-01,2018-12-28
CPB,0.0,-0.23680999999999996,0,2017-01-01,2018-12-28
COF,-0.13612999999999997,-0.1107189999999999,3,2017-01-01,2018-12-28
CAH,0.24308699999999961,-0.26153099999999996,10,2017-01-01,2018-12-28
KMX,-0.29179999999999995,-0.023299999999999987,4,2017-01-01,2018-12-28
CCL,-0.10353800000000002,-0.0061470000000000136,1,2017-01-01,2018-12-28
